"mae","level","type"
0.444756173080723,2,"species"
0.298705460751528,2,"species"
0.158275857744519,2,"species"
0.097830943521211,2,"species"
0.220322262796153,2,"species"
0.290015644038036,2,"species"
0.249461148684533,2,"species"
0.954314070182973,2,"species"
0.122073561018821,2,"species"
0.751566949178082,2,"species"
0.124488082721572,2,"species"
0.291356526181829,2,"species"
0.176075734898295,2,"species"
0.285390248636416,2,"species"
0.162295218127225,2,"species"
0.181809705276564,2,"species"
0.174538619874536,2,"species"
0.220926004143824,2,"species"
0.245788359104811,2,"species"
0.0627626557388258,2,"species"
0.374565446159383,4,"species"
0.780294635742986,4,"species"
0.0706913114214569,4,"species"
0.291562638671841,4,"species"
0.439149097491286,4,"species"
0.266631908070452,4,"species"
0.0976499044714294,4,"species"
0.108379013041709,4,"species"
0.155006529399398,4,"species"
0.5016016513098,4,"species"
0.64943508653525,4,"species"
0.196777941478311,4,"species"
0.142345493277424,4,"species"
0.331646456072219,4,"species"
0.478957138759842,4,"species"
0.320150296551729,4,"species"
0.329940509837774,4,"species"
0.439146303218711,4,"species"
0.0800793535681493,4,"species"
0.432757391009485,4,"species"
0.643784256899481,4,"species"
0.0792722706265354,4,"species"
0.412362525918588,4,"species"
0.306388059816531,4,"species"
0.266785561808347,4,"species"
0.247637126259327,4,"species"
0.235562137951808,4,"species"
0.305850611884038,4,"species"
0.41789834314502,8,"species"
0.360639489457433,8,"species"
0.616533455509657,8,"species"
0.309781175718992,8,"species"
0.260383218325195,8,"species"
0.583883304177508,8,"species"
0.400927878252508,8,"species"
0.306740617534498,8,"species"
0.729329446432238,8,"species"
0.400714335746457,8,"species"
0.129505879245056,8,"species"
0.512057395778971,8,"species"
0.588842510382041,8,"species"
0.397507730352761,8,"species"
0.405883297703062,8,"species"
0.428238771346684,8,"species"
0.523049114278372,8,"species"
0.47325591938204,8,"species"
0.465367343880158,8,"species"
0.454151861378763,8,"species"
0.512633714733745,8,"species"
0.369879132944787,8,"species"
0.489658448107734,8,"species"
0.375581023898908,8,"species"
0.355120254940041,8,"species"
0.669404874955442,8,"species"
0.566549770198004,8,"species"
0.488914779075966,8,"species"
0.23918720156871,8,"species"
0.591016317241512,8,"species"
0.667792672458297,16,"species"
0.445986976194833,16,"species"
0.532419659375739,16,"species"
0.486713500753822,16,"species"
0.352706160136325,16,"species"
0.547583134122636,16,"species"
0.439010035105546,16,"species"
0.662337714174595,16,"species"
0.677335717644881,16,"species"
0.384639994640649,16,"species"
0.521106832837734,16,"species"
0.544295567305063,16,"species"
0.476058478858358,16,"species"
0.455616276465907,16,"species"
0.511894156098532,16,"species"
0.470230501414913,16,"species"
0.496371002275525,16,"species"
0.491177849821746,16,"species"
0.8764815579739,16,"species"
0.601222199605324,16,"species"
0.738895663757079,16,"species"
0.602947864370179,16,"species"
0.571386886460423,16,"species"
0.473208032436028,16,"species"
0.660208313506626,16,"species"
0.556890030933988,16,"species"
0.886811766889166,16,"species"
0.649693149099855,16,"species"
0.362819690918707,16,"species"
0.554471189773701,16,"species"
0.648081412688129,16,"species"
0.469906253778661,16,"species"
0.548373774830554,16,"species"
0.486093022749145,16,"species"
0.474232462427005,16,"species"
0.0500637966577357,4,"totalnpp"
0.171240647907883,2,"totalnpp"
0.240834270465417,16,"totalnpp"
0.0692473030507621,8,"totalnpp"
0.0166779464137532,2,"totalnpp"
0.388262331328609,8,"totalnpp"
0.234939156034661,8,"totalnpp"
0.150755214658838,4,"totalnpp"
0.015782862069468,4,"totalnpp"
0.0224568186532674,16,"totalnpp"
0.139162904140916,4,"totalnpp"
0.0270938863464814,16,"totalnpp"
0.347413306492802,4,"totalnpp"
0.0424973044050487,16,"totalnpp"
0.089684886571805,16,"totalnpp"
0.158160863919113,4,"totalnpp"
0.0368013561393037,4,"totalnpp"
0.0353470511617453,16,"totalnpp"
0.144448137750789,2,"totalnpp"
0.223865934077846,8,"totalnpp"
0.0747014974473119,4,"totalnpp"
0.119278283492769,2,"totalnpp"
0.106561263834788,8,"totalnpp"
0.196864026948365,4,"totalnpp"
0.300757116274818,8,"totalnpp"
0.0633370299242006,16,"totalnpp"
0.296774135304501,4,"totalnpp"
0.0981142281711058,8,"totalnpp"
0.0588670450567308,2,"totalnpp"
0.0112355820224397,8,"totalnpp"
0.0585778760136648,16,"totalnpp"
0.0776897092344786,16,"totalnpp"
0.21934612708935,4,"totalnpp"
0.215857053156368,8,"totalnpp"
0.03334728374722,8,"totalnpp"
0.123434314734909,16,"totalnpp"
0.0297515041329999,16,"totalnpp"
0.175181532733062,4,"totalnpp"
0.0147128223323425,8,"totalnpp"
0.146582885902145,8,"totalnpp"
0.300457764911333,2,"totalnpp"
0.104242151913775,8,"totalnpp"
0.249391530382784,2,"totalnpp"
0.0959190750544674,8,"totalnpp"
0.106171294072593,4,"totalnpp"
0.0860368679318055,16,"totalnpp"
0.110411588156293,4,"totalnpp"
0.247319480424518,4,"totalnpp"
0.054269932469297,8,"totalnpp"
0.296160972817721,4,"totalnpp"
0.142300539031916,16,"totalnpp"
0.157947535653557,16,"totalnpp"
0.0790612604268044,16,"totalnpp"
0.0957323877230687,2,"totalnpp"
0.0558958638834539,2,"totalnpp"
0.263001443832262,16,"totalnpp"
0.240755882103669,8,"totalnpp"
0.00530062887689131,2,"totalnpp"
0.118796234212379,16,"totalnpp"
0.126352742747662,2,"totalnpp"
0.115636674892022,4,"totalnpp"
0.09781788837953,8,"totalnpp"
0.164872017771297,8,"totalnpp"
0.0733137309555274,16,"totalnpp"
0.256216032879007,4,"totalnpp"
0.318054752467082,2,"totalnpp"
0.0601237425405314,2,"totalnpp"
0.0902652344103165,4,"totalnpp"
0.183098392552758,4,"totalnpp"
0.0732437660312457,16,"totalnpp"
0.00994773155035533,8,"totalnpp"
0.00711678898311785,8,"totalnpp"
0.0962994077715145,8,"totalnpp"
0.0898706048198514,8,"totalnpp"
