"e026","e055","e111","e120","e123"
0,0,1,2,2
0,0,2,0,0
21,0,4,0,0
0,0,0,0,0
27,0,2,0,0
0,0,4,0,0
0,3,0,3,0
7,3,4,3,2
0,0,4,0,2
0,0,4,0,0
0,0,4,2,1
0,0,1,0,0
0,0,2,0,0
0,0,3,0,0
0,0,0,0,0
0,0,4,0,0
0,0,0,0,0
0,0,0,0,0
0,0,4,0,0
0,0,0,0,0
0,0,4,0,0
0,0,0,0,0
0,0,4,0,0
0,0,0,0,0
0,0,4,2,0
0,3,4,4,1
0,0,2,3,0
0,0,3,2,0
0,3,4,1,2
0,0,4,0,0
0,0,4,0,0
0,3,4,3,1
0,0,2,0,0
5,0,3,0,0
0,0,2,0,0
0,0,0,0,0
0,0,3,0,0
8,3,4,3,2
0,0,4,0,0
0,0,4,3,0
0,0,2,0,0
0,0,4,4,1
0,0,0,0,0
0,0,4,0,0
