"mu","mulogx","mumsd","mupsd","l025","u975","level","type"
0.275637661285024,-1.50093613731994,0.238976022303354,0.317923612529772,0.20837792131963,0.364607343414939,"2","species"
0.320871809187618,-1.32252826323785,0.282922987418176,0.363910754905031,0.250722557543252,0.410648004472328,"4","species"
0.447421220189742,-0.85520288211758,0.419891667540141,0.476755705701019,0.395059128340315,0.506723510268144,"8","species"
0.552142842910959,-0.61657076373626,0.532583668004266,0.572420329974057,0.514459687994623,0.592586214414884,"16","species"
0.41809557513743,-1.01137679036597,0.395669859795283,0.441792331718016,0.375274394836069,0.465802922754317,"mu","species"
0.1443525787589,-2.24522672843751,0.115351531856136,0.180644909166294,0.093008307415885,0.224040922507806,"2","totalnpp"
0.153650025103305,-2.18240123063466,0.125615213200963,0.187941648249857,0.10352723400422,0.228039804611063,"4","totalnpp"
0.127759772013568,-2.43172075458975,0.105701415511449,0.154421388455207,0.0881176640858207,0.18523595143264,"8","totalnpp"
0.0721309688851556,-2.92040777776095,0.0632689584427972,0.0822342709658373,0.055787756651779,0.0932619804877092,"16","totalnpp"
0.11988167565892,-2.48829791049422,0.10912156314979,0.131702806887608,0.0997019178482373,0.144145834593338,"mu","totalnpp"
