"mae","level","type"
0.290915223581283,2,"species"
0.318573543043279,2,"species"
0.16117077676646,2,"species"
0.309233686378659,2,"species"
0.236784811137794,2,"species"
0.293727762792037,2,"species"
0.344752857322648,2,"species"
1.18837585990038,2,"species"
0.628055504421829,2,"species"
0.901423652400996,2,"species"
0.263784200197883,2,"species"
0.624752001442586,2,"species"
0.289197599840376,2,"species"
0.474377862966363,2,"species"
0.271052487027742,2,"species"
0.256300134454591,2,"species"
0.520705620553828,2,"species"
0.263322697032363,2,"species"
0.274569684711852,2,"species"
0.201305608831464,2,"species"
0.399565280270484,4,"species"
0.64750124506903,4,"species"
0.121175687977611,4,"species"
0.642317391434577,4,"species"
0.214940051916137,4,"species"
0.15185686216533,4,"species"
0.386546042795187,4,"species"
0.214666692569057,4,"species"
0.478506200369926,4,"species"
0.830570276520064,4,"species"
0.946706305760661,4,"species"
0.768373838876313,4,"species"
0.389641187336727,4,"species"
0.441503155587494,4,"species"
0.483794454233396,4,"species"
0.349115995638578,4,"species"
0.386746136679712,4,"species"
0.166191856113269,4,"species"
0.294446383114229,4,"species"
0.643131339626587,4,"species"
0.811621841202333,4,"species"
0.177719601975069,4,"species"
0.239874412060657,4,"species"
0.237717902130254,4,"species"
0.274024773143312,4,"species"
0.608028723812045,4,"species"
0.538238932706296,4,"species"
0.514722012826483,4,"species"
0.788133258071574,8,"species"
0.408461205525063,8,"species"
0.869234004252013,8,"species"
0.593067713729325,8,"species"
0.496306303025585,8,"species"
0.701323961519431,8,"species"
0.603583007727492,8,"species"
0.255467594225797,8,"species"
0.633612578734431,8,"species"
0.468284795125637,8,"species"
0.14828392685949,8,"species"
0.490612123198766,8,"species"
0.565910813909431,8,"species"
0.601535588521254,8,"species"
0.407046380882923,8,"species"
0.840157147042602,8,"species"
0.939734301395193,8,"species"
0.540228924169427,8,"species"
0.769482838986586,8,"species"
0.574691500239617,8,"species"
0.680263421012095,8,"species"
0.554685422200414,8,"species"
0.699116204901418,8,"species"
0.47657477159115,8,"species"
0.546444719249138,8,"species"
0.882977119816094,8,"species"
0.969337838487693,8,"species"
0.603151994808136,8,"species"
0.661137466690905,8,"species"
0.846651249097655,8,"species"
1.0462517978057,16,"species"
1.00540023369548,16,"species"
1.13413612843753,16,"species"
0.87140331276557,16,"species"
1.01730888228694,16,"species"
0.914774827743388,16,"species"
0.722321695659293,16,"species"
