"(Intercept)","abv","no3","ptisn"
43.2590673135347,3.4519446499513,14.974442201748,20.8835935749373
18.7443602105844,3.14774347913767,7.45524015159937,9.93121859942432
34.4640380789482,3.05760209486806,13.0230348497391,19.8002544753011
14.7416011576432,3.39112579899232,7.44257407382895,14.2949813617009
3.11964191760237,3.00681485655265,3.40627573619537,7.63421059718983
23.16281885049,3.39037937825282,9.3856543226256,14.3443163294423
11.5156751397552,2.86000403637185,5.81402544880102,10.842066293333
6.81407666018487,3.5114206577585,4.51028814745552,8.18064354147085
8.67248844755266,3.27200155105877,5.16447093051898,10.1796336559406
7.84096149506329,3.53154993891871,4.55074109096659,7.06423114435048
4.89368906970872,2.79393570152153,3.4902000222878,6.26404315408143
1.37704341999194,2.90790684075292,2.65878434221094,5.71946223193811
5.70192461354267,3.38608085581916,4.23617794790321,8.55519706729524
10.6554156367659,3.46773764158219,6.34353804417113,13.3002251529519
20.1614547240274,2.91556222118964,8.73920438597849,15.4029185304656
9.23313941418921,3.28099418998073,5.26828105987859,9.57416711227749
10.1414830008639,3.2717125428027,5.26104888293563,8.47410743362969
2.50588716373257,3.1523566308192,3.81458803529592,11.2011398294114
14.1056531186724,3.18261554109145,6.45621042426802,10.378609776206
22.2085459707602,3.54863613478309,8.78726161123863,12.2283114531817
24.3756175353896,3.22065077964964,9.85696646698343,15.3333509476041
12.6974341869694,2.78740080494555,6.29273206617482,11.5997900692184
5.86326961238423,3.08372419957524,3.70104881461144,5.93031301338647
109.967080959541,3.45860761130801,35.5933616577504,49.4729502685244
8.39555576070021,3.27564731485601,4.5432642932409,6.484150197803
23.9896542306478,3.17011245602896,9.43031410081116,13.4951025637579
12.3948625527931,3.41059613815186,5.74334149468323,8.03639221095144
6.91080593899069,3.39871299980293,4.06265470038591,5.95728507501191
6.82140567257627,3.38145784468165,4.56079302934041,8.07354831026327
26.6386077675245,3.15690512205133,10.0569369535065,14.1967538835058
13.3194654953443,3.484190355484,6.45420046299968,10.0725857117585
28.7970407557459,3.79112354088432,11.879973974563,19.1880878119714
6.99286881356629,3.38292880399373,4.7134911952786,8.70641695739096
2.82751772139199,3.26325032520754,3.56875358558402,8.18919463311417
10.8818302559914,3.35719137737485,5.91512520567537,10.939743319297
4.38242001512675,3.07522519724411,3.62907772579242,7.16506811389388
28.3247994200011,3.08351280009452,10.456524383169,14.0972315133368
9.29119701113283,3.00607736491333,5.09002508330338,8.97379392668194
3.97593791826882,3.23236255114712,3.51164809346048,6.87319417117637
12.8797105881316,3.43832955797607,6.37237493231087,10.0440470320221
8.19791561078228,3.03386470370173,4.70032596408194,8.02322274320234
18.3059655646412,2.99597881092297,7.947075294457,13.5955803324865
15.1753822926341,3.05368948632844,6.81965719087623,10.1511897235259
6.74420926374241,3.02442632263921,4.49433058946428,8.6054457560814
15.2431448345269,3.05746766357537,6.70472839119733,10.5944810463829
40.5204967982226,3.35460136626525,15.8959208198981,27.2977077998214
9.66206499470676,3.28518142250714,5.02684771822865,7.65323832684932
7.86062995506551,3.14130150838496,4.41165761461007,6.98672360633281
-0.144655663969528,3.05326350481596,2.39821839187568,5.91370088415739
9.70980759228552,3.51989899112761,5.03177755350152,7.13219962502334
7.99724728252044,3.21527025768002,4.49989579035159,7.2864071946342
7.44768220775367,3.58091456257093,4.53993705515121,7.32137403960421
9.5826273206528,3.10753622012553,5.06465337527143,8.81068221949781
1062.8295936674,3.60267591216508,344.896511901699,545.406909253648
11.8264964818238,3.52909044349265,6.15036140323988,10.3359967975829
25.6191034199236,2.99531136989291,10.2411262370375,16.617164301403
13.2235476530216,3.14636211967358,6.27419747888942,10.3201135647018
0.714325075437625,2.81567171981806,2.39168538697061,6.01373437172173
1.25687539710701,3.79974058573468,3.35170499986584,7.52909024827526
19.1890528936501,3.68554643720305,9.2083461992153,16.6330993219514
4.99511626390718,2.74537986550196,3.51894139030699,6.54916520209796
13.8383696999257,3.1039809526795,6.59446175439426,11.1715733025112
22.8720195420292,3.59611952165215,9.34380293521441,14.4808188707946
4.69481415020128,3.53369028057585,4.13995334536353,8.21819955809726
6.56562015906147,2.87817786289981,3.86395915889553,6.13254573548583
17.7821732501774,3.23564578284375,7.9611229419558,13.8031239842938
10.1361737823408,3.17476489925374,5.06490455131387,7.5102601664151
9.26228816957373,3.02681160977868,5.26787640754819,9.43087892523955
3.43716712921184,2.99367656447974,3.28062476544657,6.5332924616334
25.959715731339,3.71296610887115,10.6789871178673,17.2213495164766
5.55333163358668,2.94568431736252,3.98368508890956,7.7454330663457
20.1008303871785,3.25065209393432,8.50882418365994,13.242504003066
18.2901855426771,3.55586035249671,8.69283726044915,16.8837566998537
6.39982190370281,3.35516193625444,4.60760565896278,9.24618293948577
3.05810813987538,3.16640868189297,3.19142320658269,6.309437968407
11.471241543198,3.19701453989975,5.71785769956498,9.24734633760573
5.1059298588017,3.01196267572391,4.0922866711468,8.72826083768676
9.16660868954346,3.02358217962523,5.19730677295078,9.77187734401727
15.5390389669995,4.01645594891728,7.30940239658503,10.9678996995646
12.6972476187536,3.55186157869911,5.81141207384566,7.82209799019045
18.2249634215333,3.50135042965449,7.6069081734328,11.3300827245765
79.171876449198,3.2047570494705,24.8318377272483,29.86900782948
19.2011971343269,3.76208768529694,8.10744218474256,11.4539479399238
29.3716341925307,4.02610673826623,11.1112511370726,14.7958002356171
13.6643403910215,3.23778028404021,6.52170558382114,10.8640849196056
103.893882224367,3.12160654885271,34.1859111362635,48.6049759828582
12.0347954996095,3.04254049984315,6.07638789985442,10.2905987192579
23.3731480813145,3.59375376897502,8.93999317546883,11.2118716544551
12.6549492148552,3.19450247374034,5.90145742870293,8.93164789045019
22.6863234423629,3.20363171539838,9.04384218418621,13.4538883502385
