"","X.Intercept.","abv","no3","ptisn","threeway"
"2.5%",-0.401224749392857,2.79704187538755,2.41396282246887,5.5572386560711,NA
"50%",9.66284188914171,3.23684730971836,5.25585546641491,9.00952515863943,NA
"97.5%",63.4675990873229,3.98436717149641,22.0100330355458,34.8674889986871,NA
"pvalue",0.035,0,0.005,0.005,0.005
